Rat_ID,Treatment,n_reversals_long,n_trials_toR,n_trials_onR,trials_toR__accuracy,trials_toR__streak,trials_toR__P0s,trials_toR__P0s_perc,trials_toR__LStay,trials_toR__Lshift,trials_toR__Wshift,trials_toR__Wstay,trials_onR__accuracy,trials_onR__streak,trials_onR__P0s,trials_onR__P0s_perc,trials_onR__LStay,trials_onR__Lshift,trials_onR__Wshift,trials_onR__Wstay,trials_postR__accuracy,trials_postR__streak,trials_postR__P0s,trials_postR__P0s_perc,trials_postR__LStay,trials_postR__Lshift,trials_postR__Wshift,trials_postR__Wstay,coef_toR1,coef_onR1,coef_toR2,coef_onR2,coef_postR1,coef_postR2,lats_toR1_med,lats_toR2_med,lats_onR1_med,lats_onR2_med,lats_postR1_med,lats_postR2_med
LSDB01,Saline,"[4, 5, 3, 3]",69,69,0.2028985507246377,4,22,0.3188405797101449,0.6666666666666666,0.13043478260869565,0.11594202898550725,0.07246376811594203,0.2028985507246377,4,22,0.3188405797101449,0.6666666666666666,0.13043478260869565,0.11594202898550725,0.07246376811594203,0.4529616724738676,5,1,0.003484320557491289,0.2787456445993031,0.2682926829268293,0.2682926829268293,0.18118466898954705,,,,,,,,,,,,
LSDB07,Saline,"[3, 5, 5, 5]",80,80,0.2,4,5,0.0625,0.6625,0.1375,0.125,0.0625,0.2,4,5,0.0625,0.6625,0.1375,0.125,0.0625,0.45263157894736844,11,4,0.014035087719298246,0.3333333333333333,0.21403508771929824,0.21052631578947367,0.23859649122807017,,,,,,,,,,,,
LSDB15,Saline,"[2, 3, 3, 3, 2]",172,82,0.10465116279069768,5,1,0.005813953488372093,0.8255813953488372,0.06976744186046512,0.06976744186046512,0.029069767441860465,0.14634146341463414,5,2,0.024390243902439025,0.7682926829268293,0.08536585365853659,0.07317073170731707,0.06097560975609756,0.31333333333333335,9,1,0.0033333333333333335,0.5,0.18666666666666668,0.18333333333333332,0.12666666666666668,-0.0025904599954796074,-0.012763601250623473,0.022510399692658174,0.009857971797099217,0.002063743751868796,0.008249252252305444,54.5,28.0,55.0,27.5,58.0,35.0
LSDB02,Saline,"[2, 2, 4, 5, 5, 5]",217,37,0.12903225806451613,3,3,0.013824884792626729,0.7649769585253456,0.10599078341013825,0.10138248847926268,0.02304147465437788,0.32432432432432434,3,1,0.02702702702702703,0.4594594594594595,0.21621621621621623,0.1891891891891892,0.10810810810810811,0.5221238938053098,8,7,0.030973451327433628,0.24336283185840707,0.2345132743362832,0.2345132743362832,0.2831858407079646,,,,,,,,,,,,
LSDB08,Saline,"[2, 4, 4, 5, 5]",140,50,0.17857142857142858,5,17,0.12142857142857143,0.7214285714285714,0.1,0.09285714285714286,0.07857142857142857,0.36,5,1,0.02,0.5,0.14,0.14,0.2,0.4827586206896552,14,4,0.017241379310344827,0.3275862068965517,0.1896551724137931,0.1853448275862069,0.29310344827586204,,,,,,,,,,,,
LSDB11,Saline,"[2, 5, 5, 3, 3]",156,66,0.10256410256410256,3,70,0.44871794871794873,0.8269230769230769,0.07051282051282051,0.0641025641025641,0.03205128205128205,0.18181818181818182,3,33,0.5,0.6818181818181818,0.13636363636363635,0.12121212121212122,0.045454545454545456,0.37666666666666665,10,10,0.03333333333333333,0.4266666666666667,0.19666666666666666,0.19666666666666666,0.17666666666666667,0.00044475164967836656,0.00020452498965511107,0.0011014440336075382,-9.075146020267794e-06,-0.0008681140338389438,0.005054600264198342,74.5,15.0,137.5,15.0,137.5,14.0
LSDB06,Saline,"[2, 2, 2, 4, 5, 3, 6]",288,18,0.10069444444444445,4,114,0.3958333333333333,0.8333333333333334,0.06597222222222222,0.0625,0.034722222222222224,0.6111111111111112,4,2,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.22529644268774704,8,2,0.007905138339920948,0.6758893280632411,0.09486166007905138,0.09486166007905138,0.13043478260869565,,,,,,,,,,,,
LSDB05,Saline,"[2, 2, 3, 3, 5, 5]",216,36,0.06018518518518518,3,35,0.16203703703703703,0.8981481481481481,0.041666666666666664,0.037037037037037035,0.018518518518518517,0.2222222222222222,3,23,0.6388888888888888,0.6666666666666666,0.1111111111111111,0.08333333333333333,0.1111111111111111,0.32452830188679244,8,1,0.0037735849056603774,0.5018867924528302,0.16981132075471697,0.17358490566037735,0.1509433962264151,,,,,,,,,,,,
LSDB04,Saline,"[3, 5, 4, 3]",86,86,0.10465116279069768,6,70,0.813953488372093,0.8604651162790697,0.03488372093023256,0.023255813953488372,0.06976744186046512,0.10465116279069768,6,70,0.813953488372093,0.8604651162790697,0.03488372093023256,0.023255813953488372,0.06976744186046512,0.42,10,5,0.02,0.396,0.18,0.184,0.236,,,,,,,,,,,,
LSDB03,Saline,"[2, 2, 5, 4, 5, 5]",211,31,0.08530805687203792,3,82,0.3886255924170616,0.8483412322274881,0.06635071090047394,0.061611374407582936,0.018957345971563982,0.3225806451612903,3,9,0.2903225806451613,0.4838709677419355,0.1935483870967742,0.16129032258064516,0.12903225806451613,0.4708333333333333,8,1,0.004166666666666667,0.3416666666666667,0.1875,0.18333333333333332,0.2833333333333333,,,,,,,,,,,,
